property_id,property_name,category,city
21558,365 Royal Grands,Luxury,Dubai
21559,365 Luxe Exotica,Luxury,Abu Dhabi
21560,365 City Haven,Business,Dubai
21561,365 Azure Blu,Luxury,Dubai
21562,365 Ocean Bay,Luxury,Dubai
21563,365 Majestic Palace,Business,Dubai
22558,365 Royal Grands,Luxury,Abu Dhabi
22559,365 Luxe Exotica,Luxury,Abu Dhabi
22560,365 City Haven,Business,Abu Dhabi
22561,365 Azure Blu,Luxury,Abu Dhabi
22562,365 Ocean Bay,Luxury,Abu Dhabi
22563,365 Majestic Palace,Business,Abu Dhabi
22564,365 Four Seasons,Business,Abu Dhabi
23558,365 Royal Grands,Luxury,Sharjah
23559,365 Luxe Exotica,Luxury,Sharjah
23560,365 City Haven,Business,Sharjah
23561,365 Azure Blu,Luxury,Sharjah
23562,365 Ocean Bay,Luxury,Sharjah
23563,365 Majestic Palace,Business,Sharjah
24558,365 Royal Grands,Luxury,Ras Al Khaimah
24559,365 Luxe Exotica,Luxury,Ras Al Khaimah
24560,365 City Haven,Business,Ras Al Khaimah
24561,365 Azure Blu,Luxury,Ras Al Khaimah
24562,365 Ocean Bay,Luxury,Ras Al Khaimah
24563,365 Majestic Palace,Business,Ras Al Khaimah
