booking_id,property_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
May012221558RT11,21558,2022-04-27,2022-05-01,2022-05-02,-3.0,RT1,Direct Online,1.0,Checked Out,1001,1001
May012221558RT12,21558,2022-04-30,2022-05-01,2022-05-02,2.0,RT1,Others,,Cancelled,910,364
May012221558RT13,21558,2022-04-28,2022-05-01,2022-05-04,2.0,RT1,Bookings_Com,5.0,Checked Out,910000,910
May012221558RT14,21558,2022-04-28,2022-05-01,2022-05-02,-2.0,RT1,Others,,Cancelled,910,364
May012221558RT15,21558,2022-04-27,2022-05-01,2022-05-02,4.0,RT1,Direct Online,5.0,Checked Out,1092,1092
May012221558RT16,21558,2022-05-01,2022-05-01,2022-05-03,2.0,RT1,Others,4.0,Checked Out,910,910
May012221558RT17,21558,2022-04-28,2022-05-01,2022-05-06,2.0,RT1,Others,,Cancelled,910,364
May012221558RT18,21558,2022-04-26,2022-05-01,2022-05-03,2.0,RT1,Bookings_Com,,No Show,910,910
May012221558RT19,21558,2022-04-30,2022-05-01,2022-05-02,2.0,RT1,Eventica Travels,,Checked Out,910,910
May012221558RT110,21558,2022-04-28,2022-05-01,2022-05-02,1.0,RT1,Others,4.0,Checked Out,910,910
May012221558RT111,21558,2022-04-29,2022-05-01,2022-05-07,1.0,RT1,DeBookkarus,5.0,Checked Out,910,910
May012221558RT112,21558,2022-04-26,2022-05-01,2022-05-02,2.0,RT1,Bookings_Com,5.0,Checked Out,910,910
May012221558RT113,21558,2022-04-26,2022-05-01,2022-05-07,2.0,RT1,DeBookkarus,5.0,Checked Out,910,910
May012221558RT114,21558,2022-04-30,2022-05-01,2022-05-05,1.0,RT1,Bookings_Com,,Cancelled,910,364
May012221558RT115,21558,2022-04-29,2022-05-01,2022-05-02,2.0,RT1,Others,,Checked Out,910,910
May012221558RT116,21558,2022-04-27,2022-05-01,2022-05-03,4.0,RT1,Bookkaru,,Checked Out,1092,1092
May012221558RT117,21558,2022-04-29,2022-05-01,2022-05-02,3.0,RT1,Direct Offline,,Checked Out,1001,1001
May012221558RT118,21558,2022-04-27,2022-05-01,2022-05-02,2.0,RT1,Others,,Checked Out,910,910
May012221558RT21,21558,2022-04-07,2022-05-01,2022-05-06,2.0,RT2,Others,,Checked Out,1260,1260
May012221558RT22,21558,2022-04-30,2022-05-01,2022-05-03,2.0,RT2,Others,5.0,Checked Out,1260,1260
May012221558RT23,21558,2022-04-10,2022-05-01,2022-05-07,1.0,RT2,DeBookkarus,,Checked Out,1260,1260
May012221558RT24,21558,2022-04-29,2022-05-01,2022-05-03,3.0,RT2,Others,,Cancelled,1386,554
May012221558RT25,21558,2022-04-26,2022-05-01,2022-05-02,1.0,RT2,Direct Offline,,Cancelled,1260,504
May012221558RT26,21558,2022-04-27,2022-05-01,2022-05-02,2.0,RT2,Direct Offline,4.0,Checked Out,1260,1260
May012221558RT27,21558,2022-04-26,2022-05-01,2022-05-07,3.0,RT2,Direct Offline,,Cancelled,1386,554
May012221558RT28,21558,2022-05-01,2022-05-01,2022-05-02,2.0,RT2,Others,,Checked Out,1260,1260
May012221558RT29,21558,2022-04-25,2022-05-01,2022-05-02,2.0,RT2,Bookings_Com,,Checked Out,1260,1260
May012221558RT210,21558,2022-04-27,2022-05-01,2022-05-02,2.0,RT2,Others,4.0,Checked Out,1260,1260
May012221558RT211,21558,2022-04-30,2022-05-01,2022-05-07,2.0,RT2,DeBookkarus,,Cancelled,1260,504
May012221558RT212,21558,2022-04-27,2022-05-01,2022-05-02,2.0,RT2,Others,5.0,Checked Out,1260,1260
May012221558RT213,21558,2022-04-29,2022-05-01,2022-05-02,,RT2,Bookings_Com,4.0,Checked Out,1260,1260
May012221558RT214,21558,2022-04-26,2022-05-01,2022-05-03,4.0,RT2,Others,4.0,Checked Out,1512,1512
May012221558RT215,21558,2022-04-29,2022-05-01,2022-05-04,2.0,RT2,Direct Offline,,No Show,1260,1260
May012221558RT216,21558,2022-04-28,2022-05-01,2022-05-03,1.0,RT2,Others,5.0,Checked Out,1260,1260
May012221558RT217,21558,2022-04-29,2022-05-01,2022-05-07,4.0,RT2,DeBookkarus,,Cancelled,1512,605
May012221558RT218,21558,2022-04-24,2022-05-01,2022-05-02,1.0,RT2,Bookings_Com,5.0,Checked Out,1260,1260
May012221558RT219,21558,2022-04-10,2022-05-01,2022-05-02,3.0,RT2,Others,5.0,Checked Out,1386,1386
May012221558RT220,21558,2022-04-27,2022-05-01,2022-05-04,2.0,RT2,Eventica Travels,,Checked Out,1260,1260
May012221558RT221,21558,2022-04-25,2022-05-01,2022-05-03,2.0,RT2,Direct Online,5.0,Checked Out,1260,1260
May012221558RT31,21558,2022-04-27,2022-05-01,2022-05-03,3.0,RT3,Others,3.0,Checked Out,1848,1848
May012221558RT32,21558,2022-04-24,2022-05-01,2022-05-06,4.0,RT3,DeBookkarus,,Checked Out,2016,2016
May012221558RT33,21558,2022-04-26,2022-05-01,2022-05-07,2.0,RT3,DeBookkarus,,Checked Out,1680,1680
May012221558RT34,21558,2022-04-29,2022-05-01,2022-05-02,1.0,RT3,Others,5.0,Checked Out,1680,1680
May012221558RT35,21558,2022-04-29,2022-05-01,2022-05-04,,RT3,Others,,Checked Out,1848,1848
May012221558RT36,21558,2022-04-29,2022-05-01,2022-05-03,2.0,RT3,Others,,Checked Out,1680,1680
May012221558RT37,21558,2022-04-27,2022-05-01,2022-05-02,1.0,RT3,Bookings_Com,,Checked Out,1680,1680
May012221558RT38,21558,2022-04-27,2022-05-01,2022-05-03,,RT3,DeBookkarus,,Checked Out,1680,1680
May012221558RT41,21558,2022-04-26,2022-05-01,2022-05-03,2.0,RT4,Bookings_Com,,Cancelled,2660,1064
May012221558RT42,21558,2022-04-27,2022-05-01,2022-05-02,1.0,RT4,Eventica Travels,,Checked Out,2660,2660
May012221558RT43,21558,2022-04-29,2022-05-01,2022-05-04,2.0,RT4,Direct Offline,,Cancelled,2660,1064
